URBN  US Equity,2015/08/17,2015/07/02,2015/09/29,0.52,0.486
SYY  US Equity,2015/08/10,2015/06/25,2015/09/22,0.52,0.493
ABT  US Equity,2015/07/22,2015/06/08,2015/09/02,0.52,0.5028
JNPR  US Equity,2015/07/23,2015/06/09,2015/09/03,0.53,0.4043
FE  US Equity,2015/07/30,2015/06/16,2015/09/11,0.53,0.47
BMY  US Equity,2015/07/23,2015/06/09,2015/09/03,0.53,0.3626
RSG  US Equity,2015/07/23,2015/06/09,2015/09/03,0.54,0.51
PFE  US Equity,2015/07/28,2015/06/12,2015/09/09,0.56,0.5163
CSX  US Equity,2015/07/14,2015/05/29,2015/08/25,0.56,0.5265
AIV  US Equity,2015/07/30,2015/06/16,2015/09/11,0.56,0.537
EW  US Equity,2015/07/28,2015/06/12,2015/09/09,0.565,0.5284
TSS  US Equity,2015/07/28,2015/06/12,2015/09/09,0.58,0.535
INTC  US Equity,2015/07/15,2015/06/01,2015/08/26,0.5828,0.5429
WEC  US Equity,2015/07/29,2015/06/15,2015/09/10,0.59,0.555
TYC  US Equity,2015/07/31,2015/06/17,2015/09/14,0.59,0.558
EXC  US Equity,2015/07/29,2015/06/15,2015/09/10,0.59,0.52
CSCO  US Equity,2015/08/12,2015/06/29,2015/09/24,0.59,0.563
SEE  US Equity,2015/07/30,2015/06/16,2015/09/11,0.6,0.53
EXPD  US Equity,2015/08/04,2015/06/19,2015/09/16,0.6136,0.54
MSFT  US Equity,2015/07/21,2015/06/05,2015/09/01,0.62,0.5795
DHI  US Equity,2015/07/28,2015/06/12,2015/09/09,0.627,0.5
KO  US Equity,2015/07/22,2015/06/08,2015/09/02,0.63,0.602
CA  US Equity,2015/07/23,2015/06/09,2015/09/03,0.64,0.6171
TGNA  US Equity,2015/07/21,2015/06/05,2015/09/01,0.65,0.628
SYF  US Equity,2015/07/17,2015/06/03,2015/08/28,0.65,0.6128
NLSN  US Equity,2015/07/28,2015/06/12,2015/09/09,0.66,0.6394
ES  US Equity,2015/07/30,2015/06/16,2015/09/11,0.66,0.562
DO  US Equity,2015/08/03,2015/06/18,2015/09/15,0.6647,0.4681
WM  US Equity,2015/07/23,2015/06/09,2015/09/03,0.67,0.6289
MSI  US Equity,2015/08/05,2015/06/22,2015/09/17,0.68,0.54
YUM  US Equity,2015/07/14,2015/05/29,2015/08/25,0.69,0.6647
T  US Equity,2015/07/23,2015/06/09,2015/09/03,0.69,0.636
CNC  US Equity,2015/07/28,2015/06/12,2015/09/09,0.7257,0.695
XRAY  US Equity,2015/07/30,2015/06/16,2015/09/11,0.73,0.683
CHD  US Equity,2015/08/04,2015/06/19,2015/09/16,0.73,0.702
V  US Equity,2015/07/23,2015/06/09,2015/09/03,0.74,0.5844
MO  US Equity,2015/07/29,2015/06/15,2015/09/10,0.74,0.714
FIS  US Equity,2015/07/23,2015/06/09,2015/09/03,0.74,0.7078
EBAY  US Equity,2015/07/16,2015/06/02,2015/08/27,0.76,0.7251
VRSK  US Equity,2015/07/28,2015/06/12,2015/09/09,0.77,0.6578
