FOXA  US Equity,2015/11/04,2015/09/22,2015/12/17,0.38,0.375
UPS  US Equity,2015/10/27,2015/09/14,2015/12/09,1.39,1.372
PNR  US Equity,2015/10/20,2015/09/04,2015/12/02,0.97,0.958
CHD  US Equity,2015/11/02,2015/09/18,2015/12/15,0.9,0.889
NWL  US Equity,2015/10/30,2015/09/17,2015/12/14,0.62,0.613
KMB  US Equity,2015/10/21,2015/09/08,2015/12/03,1.51,1.493
ABT  US Equity,2015/10/21,2015/09/08,2015/12/03,0.54,0.534
KEY  US Equity,2015/10/15,2015/09/01,2015/11/27,0.27,0.267
IBM  US Equity,2015/10/19,2015/09/03,2015/12/01,3.34,3.303
FAST  US Equity,2015/10/13,2015/08/28,2015/11/24,0.47,0.465
AIV  US Equity,2015/11/03,2015/09/21,2015/12/16,0.57,0.564
HCP  US Equity,2015/11/03,2015/09/21,2015/12/16,0.79,0.782
APD  US Equity,2015/10/29,2015/09/16,2015/12/11,1.82,1.803
PX  US Equity,2015/10/29,2015/09/16,2015/12/11,1.46,1.447
GPC  US Equity,2015/10/19,2015/09/03,2015/12/01,1.24,1.229
SYY  US Equity,2015/11/02,2015/09/18,2015/12/15,0.52,0.515455
LLTC  US Equity,2015/10/13,2015/08/28,2015/11/24,0.46,0.456
WFC  US Equity,2015/10/14,2015/08/31,2015/11/25,1.05,1.04148
EQR  US Equity,2015/10/26,2015/09/11,2015/12/08,0.89,0.8828
CFG  US Equity,2015/10/23,2015/09/10,2015/12/07,0.4,0.397
ESRX  US Equity,2015/10/27,2015/09/14,2015/12/09,1.45,1.43957
URBN  US Equity,2015/11/16,2015/10/02,2015/12/30,0.42,0.417
DLPH  US Equity,2015/10/29,2015/09/16,2015/12/11,1.28,1.271
AMAT  US Equity,2015/11/12,2015/09/30,2015/12/28,0.29,0.288
SO  US Equity,2015/10/28,2015/09/15,2015/12/10,1.17,1.162
UNM  US Equity,2015/10/28,2015/09/15,2015/12/10,0.91,0.904
HBAN  US Equity,2015/10/22,2015/09/09,2015/12/04,0.2174,0.216
UNH  US Equity,2015/10/15,2015/09/01,2015/11/27,1.65,1.63957
NLSN  US Equity,2015/10/21,2015/09/08,2015/12/03,0.69,0.685714
TMO  US Equity,2015/10/21,2015/09/08,2015/12/03,1.8,1.789
RAI  US Equity,2015/10/27,2015/09/14,2015/12/09,0.55,0.547
ADS  US Equity,2015/10/22,2015/09/09,2015/12/04,3.95,3.93
R  US Equity,2015/10/22,2015/09/09,2015/12/04,1.74,1.73133
CELG  US Equity,2015/11/05,2015/09/23,2015/12/18,1.23,1.224
INTC  US Equity,2015/10/13,2015/08/28,2015/11/24,0.6175,0.615
PLD  US Equity,2015/10/20,2015/09/04,2015/12/02,0.58,0.578
PKI  US Equity,2015/11/05,2015/09/23,2015/12/18,0.6,0.598
PFG  US Equity,2015/10/22,2015/09/09,2015/12/04,1.06,1.05647
ETN  US Equity,2015/10/30,2015/09/17,2015/12/14,0.97,0.967
AME  US Equity,2015/10/27,2015/09/14,2015/12/09,0.65,0.648
