LOW  US Equity,2015/08/19,2015/07/07,2015/10/01,1.2,1.239
GPC  US Equity,2015/07/20,2015/06/04,2015/08/31,1.28,1.325
UNP  US Equity,2015/07/23,2015/06/09,2015/09/03,1.3,1.347
AES  US Equity,2015/08/10,2015/06/25,2015/09/22,0.25,0.26
WMT  US Equity,2015/08/18,2015/07/06,2015/09/30,1.08,1.1236
LLTC  US Equity,2015/07/21,2015/06/05,2015/09/01,0.54,0.562
EQIX  US Equity,2015/07/29,2015/06/15,2015/09/10,2.87,2.98714
DUK  US Equity,2015/08/06,2015/06/23,2015/09/18,0.95,0.992
AEE  US Equity,2015/07/31,2015/06/17,2015/09/14,0.58,0.60625
DNB  US Equity,2015/08/05,2015/06/22,2015/09/17,1.25,1.308
LNC  US Equity,2015/07/29,2015/06/15,2015/09/10,1.46,1.53
RF  US Equity,2015/07/21,2015/06/05,2015/09/01,0.19,0.2
TDC  US Equity,2015/08/06,2015/06/23,2015/09/18,0.53,0.558
FLR  US Equity,2015/07/30,2015/06/16,2015/09/11,1,1.055
TIF  US Equity,2015/08/27,2015/07/15,2015/10/09,0.86,0.909
XEL  US Equity,2015/07/30,2015/06/16,2015/09/11,0.39,0.413
SCG  US Equity,2015/07/30,2015/06/16,2015/09/11,0.63,0.67
BLL  US Equity,2015/07/30,2015/06/16,2015/09/11,0.89,0.95
BEN  US Equity,2015/07/29,2015/06/15,2015/09/10,0.82,0.876
DTE  US Equity,2015/07/24,2015/06/10,2015/09/04,0.76,0.812
SYMC  US Equity,2015/08/11,2015/06/26,2015/09/23,0.4,0.428077
OXY  US Equity,2015/07/30,2015/06/16,2015/09/11,0.21,0.225115
ADP  US Equity,2015/07/30,2015/06/16,2015/09/11,0.55,0.593
ADM  US Equity,2015/08/04,2015/06/19,2015/09/16,0.6,0.651818
KSS  US Equity,2015/08/13,2015/06/30,2015/09/25,1.07,1.163
CTL  US Equity,2015/08/05,2015/06/22,2015/09/17,0.55,0.6
BWA  US Equity,2015/07/30,2015/06/16,2015/09/11,0.75,0.829
PDCO  US Equity,2015/08/27,2015/07/15,2015/10/09,0.47,0.522
XOM  US Equity,2015/07/31,2015/06/17,2015/09/14,1,1.1125
PNW  US Equity,2015/07/30,2015/06/16,2015/09/11,1.1,1.225
COF  US Equity,2015/07/23,2015/06/09,2015/09/03,1.7702,1.97154
IRM  US Equity,2015/07/30,2015/06/16,2015/09/11,0.48,0.5375
KMI  US Equity,2015/07/15,2015/06/01,2015/08/26,0.1669,0.188421
MNST  US Equity,2015/08/06,2015/06/23,2015/09/18,0.79,0.898
PHM  US Equity,2015/07/23,2015/06/09,2015/09/03,0.23,0.261667
TSN  US Equity,2015/08/03,2015/06/18,2015/09/15,0.8,0.921
AMT  US Equity,2015/07/29,2015/06/15,2015/09/10,0.99,1.142
MPC  US Equity,2015/07/30,2015/06/16,2015/09/11,1.51,1.74556
YHOO  US Equity,2015/07/21,2015/06/05,2015/09/01,0.16,0.185
